Gene,logFC,P.Value,adj.P.Val,AveExpr_cluster,AveExpr_rest,percentExpr_cluster,percentExpr_rest
HIPK2,-0.571103349656265,6.84986171539452e-09,0.000141840086540674,0.697305,1.268408,0.408072,0.69163
ST3GAL5,0.294276935932073,3.18525971030958e-07,0.00210643337302644,0.439768,0.145491,0.381166,0.167401
PDE4D,-0.391371919033724,3.78254495974034e-07,0.00210643337302644,0.294479,0.685851,0.219731,0.418502
RASSF6,-0.40708354351981,4.06902665383965e-07,0.00210643337302644,0.273232,0.680315,0.197309,0.356828
IGHD,0.337957807436003,1.03886488618474e-06,0.0043023550396455,0.539986,0.202028,0.358744,0.180617
SLA,0.251252919303183,1.45063135270267e-06,0.00500637057006902,0.300898,0.049645,0.179372,0.052863
PHACTR1,0.394595077392652,3.18311296582918e-06,0.00752769193109671,0.865779,0.471184,0.533632,0.325991
TMEM107,-0.297907106007057,3.3191721611343e-06,0.00752769193109671,0.347682,0.645589,0.461883,0.696035
PLAC8,0.284659843532068,3.34230642814607e-06,0.00752769193109671,0.507117,0.222457,0.372197,0.167401
FUT8,0.28415878399677,3.63533680933825e-06,0.00752769193109671,0.476508,0.192349,0.35426,0.193833
IGHM,0.519329105182535,1.24623199579888e-05,0.0234597508518249,1.525881,1.006552,0.704036,0.515419
SYNE2,0.372772049369577,1.44518536197361e-05,0.0249378777419896,0.790108,0.417336,0.457399,0.251101
SLC2A3,0.306751764335672,1.78585462780245e-05,0.0284459167522348,0.597195,0.290443,0.443946,0.255507
RUBCN,0.390250200121024,2.04687215511505e-05,0.0302747012256909,1.445912,1.055662,0.784753,0.651982
SOS1,0.226250822407576,4.02187311473495e-05,0.0538072445916796,0.371967,0.145716,0.29148,0.162996
SEMA4D,0.27530958384185,4.15760812028239e-05,0.0538072445916796,0.493505,0.218196,0.331839,0.185022
LRMP,0.383113380974199,5.27404251995363e-05,0.0642409402709881,1.178739,0.795625,0.64574,0.462555
CHST2,0.188790616150663,6.45558986126732e-05,0.0742643884762569,0.254321,0.06553,0.188341,0.048458
BLNK,0.306418047651933,7.10409175625195e-05,0.0774233831561627,0.723793,0.417375,0.470852,0.30837
DMD,0.189080841941606,9.73288119943673e-05,0.100769385498368,0.256788,0.067707,0.197309,0.07489
ACSM3,0.230958280112563,0.000116839596521261,0.115209405960273,0.367801,0.136843,0.246637,0.123348
YTHDC1,-0.319170649875812,0.000126726470108776,0.119278409842837,0.786664,1.105835,0.578475,0.740088
KIF1B,0.178024442203051,0.00013473953287627,0.121306587272562,0.261859,0.083835,0.201794,0.114537
RP5-887A10.1,-0.2595353472843,0.000157678355726593,0.136043571334607,0.227609,0.487144,0.152466,0.321586
CAPG,0.359277862003618,0.000168704416127525,0.139734493790107,0.924684,0.565406,0.488789,0.317181
NFKBIA,-0.297132710032266,0.000268889073459536,0.214019034599607,2.165123,2.462255,0.90583,0.938326
IL10RB,0.214827687737549,0.000279060894102931,0.214019034599607,0.403749,0.188921,0.327354,0.176211
PSMD5,0.200988473650872,0.000309087048047964,0.228580910854614,0.363413,0.162425,0.26009,0.167401
PEX26,0.103324893985643,0.000338949541296574,0.239976400815201,0.128111,0.024786,0.130045,0.052863
SYK,0.320050312398701,0.000360070484228856,0.239976400815201,0.978171,0.65812,0.569507,0.418502
FCRL1,0.162110509608872,0.000375430172483876,0.239976400815201,0.260138,0.098028,0.246637,0.118943
SPI1,0.161339053748996,0.00038044386054997,0.239976400815201,0.268138,0.106799,0.242152,0.140969
FCRL2,0.213977104544458,0.000383579635896852,0.239976400815201,0.361256,0.147279,0.237668,0.118943
CPEB4,0.213968228161451,0.000394030889443997,0.239976400815201,0.424768,0.210799,0.345291,0.211454
TNFAIP8,0.262047245249782,0.000419416219405231,0.247257759162722,0.580316,0.318269,0.38565,0.255507
NCBP2-AS2,0.28667172122567,0.00042986812816236,0.247257759162722,0.735312,0.44864,0.434978,0.30837
ZNF830,-0.156487313539414,0.000542474247034748,0.2958957856846,0.07238,0.228868,0.085202,0.162996
SH3GLB1,0.260699312288605,0.000543006705752393,0.2958957856846,0.642669,0.381969,0.44843,0.312775
EIF2AK4,0.150232353208753,0.000561922415946956,0.29729412966803,0.229783,0.07955,0.174888,0.105727
HADHB,0.25179976487357,0.000574287206583338,0.29729412966803,0.594389,0.34259,0.426009,0.251101
NCOA2,0.236700325722714,0.000614992993931713,0.310601461593755,0.495617,0.258917,0.331839,0.229075
ZNF34,0.112616291335488,0.000639954221484111,0.31551266819694,0.127973,0.015357,0.089686,0.035242
RP11-136K14.3,0.116348255402952,0.000660271561694827,0.317959144837553,0.149693,0.033345,0.103139,0.044053
CCDC69,0.270307163272415,0.000692369225267758,0.325838398809533,0.663396,0.393089,0.399103,0.277533
CBX4,0.152875201909935,0.000723982525850538,0.329635258146776,0.233444,0.080569,0.183857,0.092511
LENG8,0.171960767819005,0.000732275166598333,0.329635258146776,0.367733,0.195772,0.367713,0.220264
CD2AP,0.204444220463448,0.000792416809221871,0.346328582323694,0.375744,0.1713,0.26009,0.167401
JUND,0.229463126806661,0.000814371495042559,0.346328582323694,0.637551,0.408088,0.533632,0.462555
CARD8-AS1,0.102358959216363,0.000831224915196418,0.346328582323694,0.121471,0.019112,0.09417,0.035242
GEN1,0.243143710041834,0.000836259676253668,0.346328582323694,0.543056,0.299912,0.367713,0.251101
CARHSP1,0.127378122127438,0.000934633154193619,0.374613299296863,0.205245,0.077867,0.219731,0.118943
PTPRE,0.150624305599606,0.000950018093261953,0.374613299296863,0.245982,0.095357,0.224215,0.096916
ADIPOR2,0.116741962241793,0.000958830582060836,0.374613299296863,0.17151,0.054768,0.161435,0.0837
TCEB3,-0.301034608384525,0.000991911226755524,0.377567073353959,0.568761,0.869796,0.345291,0.475771
ZCRB1,0.276180225963178,0.00102987210953801,0.377567073353959,0.799793,0.523613,0.506726,0.348018
RIN3,0.202417476365028,0.00103310709400173,0.377567073353959,0.379724,0.177306,0.300448,0.14978
ALKBH4,0.125207385131024,0.00103932598547234,0.377567073353959,0.168693,0.043486,0.121076,0.039648
SLC1A4,0.128501592431557,0.00109142430109785,0.384223849027044,0.17869,0.050189,0.121076,0.07489
CD84,0.168297353483961,0.00109476056853217,0.384223849027044,0.300177,0.131879,0.215247,0.101322
ARFGAP3,0.17575366812828,0.00117365212160869,0.405046908035852,0.328973,0.15322,0.242152,0.145374
JMY,-0.190064115509285,0.00121392683935595,0.412078410861372,0.160868,0.350932,0.156951,0.237885
FCRL5,0.11608668538084,0.00131364317738894,0.438735633454722,0.154071,0.037984,0.121076,0.057269
ARHGAP15,0.27049897843588,0.00144198091024567,0.473953947753289,0.958596,0.688097,0.632287,0.480176
JUNB,-0.291204713153983,0.00146763214328028,0.474847793607886,1.239867,1.531071,0.699552,0.779736
MS4A1,0.325348543206568,0.00150131036898488,0.478271289393382,1.97139,1.646041,0.838565,0.744493
ABHD15,0.199811318242498,0.0015591233263408,0.488694128866652,0.350442,0.15063,0.206278,0.096916
GGA2,0.301684824851418,0.00158363415419284,0.488694128866652,1.107566,0.805881,0.64574,0.54185
ZNF264,0.142421513649294,0.00163287027360178,0.488694128866652,0.234434,0.092013,0.197309,0.110132
TTN,0.247887744605322,0.00163578496375316,0.488694128866652,0.669883,0.421995,0.439462,0.303965
PSAP,0.322308705812887,0.0016520301840279,0.488694128866652,1.119423,0.797114,0.538117,0.418502
GPS2,0.0527902552815864,0.00183677243974966,0.533562462993471,0.065707,0.012917,0.089686,0.039648
KCNH4,0.141475502676456,0.00185524205995702,0.533562462993471,0.228136,0.08666,0.174888,0.0837
BAIAP3,-0.1567838336959,0.00190955928838808,0.535307678324766,0.080314,0.237098,0.067265,0.132159
TYMP,0.192231040062256,0.00191301338658583,0.535307678324766,0.369489,0.177258,0.26009,0.145374
PXK,0.251030291785382,0.00207887474284424,0.570470856418298,0.663652,0.412622,0.408072,0.299559
WDR74,-0.200075123048534,0.00209377433176176,0.570470856418298,0.287199,0.487274,0.242152,0.356828
DYRK1B,0.0696034986893071,0.0021276179943375,0.572163452061643,0.071044,0.001441,0.053812,0.004405
LAMP1,0.181280430350402,0.0021759745355264,0.577665444963399,0.367753,0.186473,0.313901,0.176211
SIDT2,0.131891418670979,0.00221252071516136,0.579932486694257,0.215469,0.083578,0.188341,0.105727
CLEC2B,0.103847351594672,0.00231522174102501,0.590761475095759,0.147838,0.043991,0.139013,0.048458
AC022182.1,-0.156106320772909,0.00232302547136148,0.590761475095759,0.099112,0.255218,0.076233,0.14978
IDS,0.263070563212466,0.00236487251206616,0.590761475095759,1.178935,0.915864,0.730942,0.651982
PLSCR1,0.166702946656207,0.00236795298367451,0.590761475095759,0.303697,0.136994,0.206278,0.114537
SETX,0.298815942801768,0.00242898143562615,0.597310522272967,1.085889,0.787073,0.573991,0.484581
RSL1D1,-0.288988349123879,0.00246505046881336,0.597310522272967,0.927046,1.216034,0.538117,0.651982
UBE2R2,0.1581430690815,0.00248330961257976,0.597310522272967,0.305982,0.147839,0.242152,0.140969
SMAP2,-0.297021207778944,0.00253296570401794,0.597310522272967,1.057968,1.354989,0.641256,0.726872
PGM2L1,0.121905496726243,0.00254781702311901,0.597310522272967,0.170965,0.049059,0.112108,0.052863
CCDC88A,0.142117675669568,0.00256727852814479,0.597310522272967,0.256765,0.114647,0.192825,0.110132
RASGEF1B,0.19941276755103,0.00262038245637963,0.602891772491699,0.485904,0.286491,0.372197,0.22467
INTS5,-0.124125764721632,0.00275980436605138,0.625171044644727,0.047515,0.171641,0.049327,0.110132
RSRP1,0.211600471821726,0.00277759869161708,0.625171044644727,0.566872,0.355271,0.381166,0.290749
TM9SF3,0.176112505705202,0.0028460315768622,0.63368576195791,0.387012,0.2109,0.300448,0.229075
TERF1,0.165437596752972,0.00291755394919362,0.642699889637789,0.323567,0.15813,0.2287,0.145374
GRB2,0.283839010750591,0.00296922230398008,0.646265137532963,1.587016,1.303177,0.789238,0.696035
TXNIP,-0.223302102287806,0.00302284604193489,0.646265137532963,2.314406,2.537708,0.941704,0.947137
TET2,0.239437606037827,0.00302736844258934,0.646265137532963,0.61224,0.372802,0.372197,0.264317
RBM38,0.20708543572628,0.00323072488042511,0.678291362875341,0.545504,0.338419,0.399103,0.281938
ACP5,0.221924145146829,0.00327109080078,0.678291362875341,0.542425,0.320501,0.336323,0.220264
IGLV1-47,-0.111027353240883,0.00328617728196011,0.678291362875341,0.015935,0.126962,0.026906,0.07489
SNRNP25,0.131867911941644,0.00338212834173695,0.678291362875341,0.222709,0.090841,0.147982,0.088106
TRANK1,0.169073533050349,0.00346159104361274,0.678291362875341,0.36755,0.198477,0.278027,0.167401
S100PBP,0.123126197224899,0.00350246342982602,0.678291362875341,0.217151,0.094025,0.192825,0.118943
PPP1R9A,-0.0853138802978317,0.00353310130500069,0.678291362875341,0.021171,0.106485,0.03139,0.096916
GALNT1,0.188962288464019,0.003533368142647,0.678291362875341,0.462071,0.273108,0.345291,0.246696
FCRLA,0.128212240527957,0.00356332636953304,0.678291362875341,0.217703,0.089491,0.147982,0.088106
NAPRT,0.0880990699553243,0.00359564384128971,0.678291362875341,0.119682,0.031583,0.089686,0.030837
HACD4,0.0765710807798778,0.00359661798770442,0.678291362875341,0.089564,0.012993,0.071749,0.035242
C11orf31,0.163829356396415,0.00362874891701984,0.678291362875341,0.410837,0.247008,0.372197,0.268722
TBC1D10B,0.0842079971586085,0.00363893223855666,0.678291362875341,0.105079,0.020871,0.09417,0.030837
PTPN7,0.243585082786545,0.00366806708034035,0.678291362875341,0.622644,0.379059,0.358744,0.220264
GNB5,0.187268647081519,0.00371774694778319,0.678291362875341,0.464501,0.277233,0.358744,0.251101
CPNE3,-0.185732794785266,0.00374641517660237,0.678291362875341,0.183683,0.369415,0.156951,0.237885
NOMO2,0.0633292237536574,0.00375130948165817,0.678291362875341,0.090355,0.027026,0.125561,0.0837
UBP1,0.157647378110393,0.00378530790285572,0.678291362875341,0.289271,0.131624,0.219731,0.118943
C16orf74,0.137240894083987,0.00382919048086127,0.678291362875341,0.226162,0.088921,0.156951,0.07489
FMNL3,-0.15675062012862,0.00383252472383324,0.678291362875341,0.176163,0.332914,0.201794,0.273128
ATP13A3,0.166761788691205,0.0039274779840528,0.682212075793284,0.379307,0.212545,0.32287,0.180617
SPICE1,0.115301790179919,0.0039365556722937,0.682212075793284,0.189791,0.074489,0.165919,0.101322
HERC2,0.163251602960069,0.00395351567562632,0.682212075793284,0.372379,0.209128,0.313901,0.211454
STAT3,0.268946429947587,0.00407865110679385,0.697988665027936,0.983322,0.714376,0.578475,0.444934
GALNT10,0.11448278676921,0.00417423653975604,0.708491114989576,0.192854,0.078371,0.188341,0.092511
MNDA,0.131101674206079,0.00422226736050372,0.710816993771956,0.211328,0.080227,0.156951,0.070485
FOXN3,0.133084948623142,0.00431770464089852,0.716402055729694,0.251664,0.118579,0.215247,0.140969
FAM102B,0.0725809849722291,0.00437867837228756,0.716402055729694,0.092387,0.019806,0.09417,0.052863
TRBJ2-1,-0.0625107153758261,0.00439543128576355,0.716402055729694,0.017647,0.080158,0.026906,0.070485
DNAJA1,-0.248137182401939,0.00442335437057684,0.716402055729694,0.515241,0.763378,0.313901,0.444934
TRAF7,0.0923873104920564,0.00449272978630126,0.716402055729694,0.147092,0.054704,0.139013,0.07489
BCAS3,0.0732178869348592,0.00453069878262944,0.716402055729694,0.094943,0.021725,0.103139,0.066079
THUMPD2,0.133844014303924,0.00454164355260445,0.716402055729694,0.245302,0.111458,0.210762,0.118943
HEATR5B,0.138368003633773,0.00457897376046973,0.716402055729694,0.297868,0.1595,0.255605,0.176211
PACS1,0.157604927387665,0.00458028367067062,0.716402055729694,0.343307,0.185702,0.286996,0.185022
ADAR,0.263350270855291,0.00468058425549795,0.716402055729694,1.167811,0.904461,0.67713,0.546256
MBD4,0.248580236288377,0.00468852287935983,0.716402055729694,0.849523,0.600943,0.506726,0.409692
LY9,0.226526833054674,0.00469117048081481,0.716402055729694,0.615026,0.3885,0.376682,0.264317
LPXN,0.24907862711147,0.00470520498281926,0.716402055729694,0.88741,0.638331,0.538117,0.422907
TTI2,-0.147967503209601,0.0048356507417713,0.730889196422323,0.259896,0.407863,0.520179,0.621145
RBMX2,-0.140262189566448,0.00488067557452141,0.732348906678369,0.139419,0.279681,0.134529,0.220264
ADA,0.150604349431937,0.0049332411975277,0.734910974656159,0.286138,0.135534,0.192825,0.127753
EXOC6B,0.0705361058466927,0.00503105362797372,0.736796130248174,0.089226,0.01869,0.098655,0.048458
FCGR2B,0.122201464789127,0.00505646144270753,0.736796130248174,0.232113,0.109912,0.192825,0.123348
PGAP2,-0.108976530701205,0.00508162611878666,0.736796130248174,0.057138,0.166114,0.06278,0.127753
MARCH3,0.190947856719256,0.00508822362609209,0.736796130248174,0.452273,0.261325,0.286996,0.207048
MARCH1,0.256617405063837,0.00513588756708509,0.73853349896966,0.901132,0.644515,0.538117,0.405286
NUP210,0.231661862663642,0.00523639090195784,0.746308642495192,0.708368,0.476707,0.430493,0.325991
LRRC59,-0.111757200723706,0.00526601931445836,0.746308642495192,0.071746,0.183503,0.089686,0.154185
STX3,0.0777109143165808,0.00529808134673266,0.746308642495192,0.106955,0.029244,0.09417,0.061674
ACTR1B,0.141535593073962,0.00538786345811001,0.753827625858675,0.254717,0.113182,0.170404,0.101322
AXIN1,-0.106479340262107,0.00550370253229598,0.758052762743068,0.052192,0.158671,0.067265,0.132159
FAM160B2,-0.137304131659814,0.0055363108656718,0.758052762743068,0.090504,0.227808,0.09417,0.145374
TRIO,-0.224035368104838,0.00556349178680271,0.758052762743068,0.578578,0.802613,0.439462,0.599119
ANKRD11,0.230137614458868,0.00556449606108786,0.758052762743068,0.816339,0.586202,0.542601,0.440529
UFL1,0.219845036788543,0.00574799945421322,0.761289909799047,0.693987,0.474142,0.470852,0.339207
RP11-768B22.2,-0.0671916918345252,0.00575144583093947,0.761289909799047,0.006323,0.073515,0.013453,0.052863
GLTSCR2,0.260623920080344,0.00578967036329479,0.761289909799047,1.226791,0.966167,0.717489,0.61674
IFIT5,0.0987185216185828,0.00580361996636654,0.761289909799047,0.142845,0.044127,0.112108,0.070485
TRBJ2-3,-0.0373393454406275,0.00581751813849705,0.761289909799047,0.015926,0.053265,0.058296,0.118943
AC104024.1,0.1175219001671,0.00584571897733985,0.761289909799047,0.168543,0.051021,0.112108,0.039648
JKAMP,0.184791754854602,0.0058848109512941,0.761289909799047,0.393997,0.209205,0.242152,0.154185
RAB29,0.178570076089966,0.00592362871495829,0.761289909799047,0.435292,0.256722,0.295964,0.211454
TMEM206,0.115965671675575,0.00599051294869702,0.761289909799047,0.191393,0.075427,0.139013,0.092511
ZNF746,0.0996155481599273,0.00607191490794085,0.761289909799047,0.153101,0.053486,0.165919,0.079295
ACSM1,0.115012950003274,0.00607323394364443,0.761289909799047,0.20301,0.087997,0.179372,0.0837
MIS12,-0.108596674930154,0.00610024321309187,0.761289909799047,0.042912,0.151508,0.03139,0.101322
CHD4,-0.257240474354352,0.00610378549514567,0.761289909799047,0.888151,1.145391,0.596413,0.629956
ZNF100,0.15777982630174,0.00627869002813603,0.761289909799047,0.35567,0.19789,0.282511,0.162996
TRAC,-0.110413859478402,0.00629162813281,0.761289909799047,0.056251,0.166665,0.049327,0.118943
GADD45B,-0.187360169694483,0.00629388480867743,0.761289909799047,0.301602,0.488962,0.210762,0.295154
ANKRD49,0.156265596717438,0.00630095148574629,0.761289909799047,0.416543,0.260277,0.38565,0.286344
DEDD,-0.162377961478599,0.00631388183901675,0.761289909799047,0.241017,0.403395,0.251121,0.330396
RAD54L2,-0.246764130151948,0.00631796846180635,0.761289909799047,0.559822,0.806586,0.340807,0.45815
NUP50,-0.1592720092161,0.00632355553607167,0.761289909799047,0.192273,0.351545,0.201794,0.264317
RPS6KA5,0.099240581828528,0.00639615825212925,0.765579473565551,0.162824,0.063583,0.152466,0.088106
PRMT9,0.131696199449154,0.00648199216590289,0.768296843464594,0.227141,0.095445,0.165919,0.079295
PIK3R4,0.160072562475057,0.00649306744609571,0.768296843464594,0.332841,0.172768,0.255605,0.136564
C18orf8,-0.191669776403711,0.00657007452389192,0.770561290811893,0.27755,0.469219,0.215247,0.290749
ARID5B,-0.276256584066118,0.00659386115019652,0.770561290811893,0.904744,1.181,0.533632,0.634361
CTD-2358C21.4,-0.0475135083714489,0.00662384265052963,0.770561290811893,0.002886,0.0504,0.008969,0.044053
FBXO46,0.0922429636339728,0.00671395819085295,0.776035734219594,0.136311,0.044068,0.125561,0.07489
PAWR,-0.152671119152613,0.006745855612089,0.776035734219594,0.146287,0.298959,0.156951,0.202643
RP11-347P5.1,0.120977651963755,0.00681809451812358,0.777570406837594,0.25154,0.130562,0.29148,0.162996
LYN,0.26209587309116,0.00686071886394386,0.777570406837594,1.163693,0.901597,0.64574,0.546256
RPS14,-0.116834982738935,0.00692052060348741,0.777570406837594,2.736888,2.853723,0.986547,0.995595
SHROOM3,0.0408079514934156,0.00693444248050057,0.777570406837594,0.044655,0.003847,0.053812,0.017621
PRMT1,-0.228952673281643,0.00694695152677621,0.777570406837594,0.543277,0.772229,0.349776,0.444934
FIGNL1,0.0905495901688463,0.00705041745630395,0.784908571331644,0.121284,0.030734,0.089686,0.030837
HSP90AB1,-0.271770214200136,0.00714387299547264,0.791059776028086,1.584571,1.856342,0.748879,0.819383
TMEM254,0.0815024348286223,0.00721124820320222,0.794272960338875,0.098903,0.0174,0.076233,0.030837
AMMECR1,0.108521269907796,0.00728119939654521,0.796689549012127,0.17713,0.068609,0.130045,0.0837
TBC1D1,0.136823457045785,0.00734041972588859,0.796689549012127,0.298354,0.161531,0.224215,0.154185
CHCHD10,0.106813750913976,0.00734861176709887,0.796689549012127,0.310097,0.203284,0.421525,0.30837
AP1G1,-0.191045524495764,0.00744759412489489,0.803215268459367,0.472708,0.663753,0.479821,0.581498
RP11-290F5.1,0.0394082546274754,0.00756612492496638,0.805467338059667,0.040017,0.000608,0.040359,0.004405
APEX2,-0.0925378082390932,0.00757372723716836,0.805467338059667,0.028062,0.120599,0.026906,0.088106
ERI3,0.11792017274796,0.0075888325380364,0.805467338059667,0.208648,0.090728,0.161435,0.0837
ACAP1,0.183873611241117,0.0076240690713138,0.805467338059667,0.476338,0.292464,0.309417,0.215859
ZNF296,0.155206720411193,0.00769350021583958,0.806693159693915,0.344749,0.189543,0.242152,0.171806
EHBP1L1,0.0811788798918374,0.00777752805982608,0.806693159693915,0.108706,0.027527,0.089686,0.035242
CHD9,0.247949617214573,0.00778662731748615,0.806693159693915,0.988052,0.740102,0.578475,0.440529
CD40,-0.266443649608734,0.00779150200119685,0.806693159693915,0.881372,1.147815,0.488789,0.594714
MSL2,0.123381466668334,0.00807654198776253,0.814169744432567,0.223701,0.10032,0.188341,0.092511
FGGY,0.0542492023346943,0.00809283318118605,0.814169744432567,0.07079,0.01654,0.085202,0.052863
AKT1,0.0886077113926889,0.0081084007726357,0.814169744432567,0.134595,0.045987,0.147982,0.070485
SLC16A1,-0.132430269612519,0.0081895131103652,0.814169744432567,0.128107,0.260537,0.116592,0.207048
NDUFS4,0.157992528625025,0.00824851971560846,0.814169744432567,0.374033,0.216041,0.26009,0.185022
ZC3H12B,-0.0663827100116631,0.00830668248989746,0.814169744432567,0.00485,0.071233,0.013453,0.052863
PHACTR4,-0.213149452112012,0.00831506292662263,0.814169744432567,0.579475,0.792624,0.457399,0.515419
NACC1,0.0374662249155015,0.008366683963379,0.814169744432567,0.047675,0.010209,0.076233,0.030837
MTMR10,0.112803099174224,0.00839575980129565,0.814169744432567,0.199994,0.087191,0.170404,0.092511
RAB22A,0.152320147503968,0.00841894218091429,0.814169744432567,0.32964,0.177319,0.215247,0.145374
PHYKPL,0.133774943443123,0.00843478633781718,0.814169744432567,0.265264,0.131489,0.197309,0.145374
CPNE1,-0.199989277976096,0.00846113327824683,0.814169744432567,0.387005,0.586994,0.29148,0.378855
LINC00672,0.074861893966726,0.00852724033827544,0.814169744432567,0.097175,0.022314,0.09417,0.022026
GDPD5,0.1061287518317,0.00854378885814411,0.814169744432567,0.166288,0.060159,0.134529,0.057269
FAM122A,-0.122725808180566,0.00855232122199654,0.814169744432567,0.084525,0.207251,0.071749,0.145374
CLEC17A,0.119597700499463,0.00860975422809295,0.814169744432567,0.269832,0.150235,0.282511,0.189427
GOLPH3,0.175210664573167,0.00862893966880517,0.814169744432567,0.474487,0.299277,0.349776,0.251101
LDB1,0.137873528147523,0.00863833685260426,0.814169744432567,0.302354,0.164481,0.269058,0.171806
RPL15,-0.142306258201696,0.00871091864815586,0.814169744432567,2.440681,2.582987,0.964126,0.977974
TRBJ2-2,-0.050718038157387,0.00871746581952109,0.814169744432567,0.017552,0.06827,0.026906,0.07489
DNAJC7,0.230376074546389,0.00871990998085505,0.814169744432567,0.829992,0.599616,0.497758,0.39207
TMEM159,0.117351090825068,0.00875828500757411,0.814169744432567,0.223938,0.106586,0.197309,0.154185
USP7,0.205331467053473,0.00879681590340101,0.814169744432567,0.670944,0.465613,0.461883,0.370044
ARID5A,-0.252722491514615,0.00880736092881127,0.814169744432567,0.669005,0.921728,0.403587,0.480176
CDK2AP1,0.0550558729645249,0.00910126986759497,0.818386121741612,0.066994,0.011938,0.071749,0.017621
TRAPPC2L,0.154577910140354,0.00911887127663711,0.818386121741612,0.341787,0.187209,0.2287,0.15859
TTC3,0.241647049195923,0.00931766198547729,0.818386121741612,0.97613,0.734483,0.565022,0.440529
CCDC141,0.148401144730885,0.00941770558987789,0.818386121741612,0.295567,0.147165,0.210762,0.145374
FKBP11,-0.129342420650903,0.00949805422500942,0.818386121741612,0.154208,0.283551,0.152466,0.211454
CAMK2D,0.159494096231151,0.00951467575812111,0.818386121741612,0.381186,0.221692,0.278027,0.180617
CGRRF1,-0.144206517744462,0.00953255787741238,0.818386121741612,0.134717,0.278923,0.112108,0.189427
SERF2,0.218955729674742,0.00954978314926613,0.818386121741612,1.115995,0.897039,0.668161,0.594714
TMEM116,0.0551284971257829,0.00955054492407494,0.818386121741612,0.066436,0.011308,0.06278,0.044053
GRK5,-0.154881124464457,0.00957526318099822,0.818386121741612,0.154614,0.309495,0.098655,0.193833
SNX18,0.0546898402217579,0.00959995432390672,0.818386121741612,0.067116,0.012426,0.053812,0.026432
IFT20,0.099693486923347,0.00960227901658999,0.818386121741612,0.165691,0.065998,0.143498,0.088106
SCML4,0.0718614073618414,0.00960410808623957,0.818386121741612,0.096541,0.024679,0.085202,0.061674
PRDM1,-0.158680036027367,0.00967778791176114,0.818386121741612,0.204953,0.363633,0.183857,0.268722
GID4,0.0678799692745577,0.00978939883557767,0.818386121741612,0.085126,0.017246,0.076233,0.035242
ADAMTS2,0.0191365521300273,0.00984042561299268,0.818386121741612,0.0193,0.000164,0.035874,0.004405
SUMO1,0.229590942784862,0.00986503354011039,0.818386121741612,0.830133,0.600542,0.457399,0.378855
CTNNAL1,-0.0788667526916138,0.00986618550822169,0.818386121741612,0.035012,0.113878,0.067265,0.096916
PPM1L,-0.139259472186233,0.0099314335386428,0.818386121741612,0.153086,0.292346,0.139013,0.23348
TTYH3,0.0726706018136272,0.0099355760392114,0.818386121741612,0.095171,0.022501,0.071749,0.030837
TRAPPC10,0.174512598796695,0.0100048038269777,0.818386121741612,0.506496,0.331983,0.399103,0.268722
STAG3,-0.125230656331141,0.0100288887702509,0.818386121741612,0.14566,0.270891,0.201794,0.237885
MCM3AP,0.165101492211803,0.0100504690801896,0.818386121741612,0.429197,0.264096,0.304933,0.229075
TRPV2,0.103085487682405,0.0101158080731721,0.818386121741612,0.172533,0.069448,0.125561,0.066079
RABIF,0.0996408528729063,0.0101192104741837,0.818386121741612,0.167432,0.067791,0.139013,0.07489
PHLDB3,0.0589899440601382,0.0101261476635074,0.818386121741612,0.075188,0.016198,0.076233,0.026432
MALT1,0.136401233940487,0.0102629517934109,0.818386121741612,0.303035,0.166634,0.242152,0.176211
CCDC157,-0.03855378297297,0.0102881806629772,0.818386121741612,0.00066,0.039213,0.004484,0.044053
S100A11,0.0889324365878303,0.0103990351807342,0.818386121741612,0.146553,0.05762,0.121076,0.057269
FAM172A,-0.136890887286785,0.0104016775349017,0.818386121741612,0.191853,0.328744,0.201794,0.30837
CARF,0.106320805765884,0.0105008675449418,0.818386121741612,0.190506,0.084185,0.152466,0.105727
ITPR2,0.221609057212671,0.0105331110640043,0.818386121741612,0.789144,0.567535,0.497758,0.378855
KIAA0825,0.0437882896053902,0.0105420622209605,0.818386121741612,0.050874,0.007085,0.067265,0.026432
MED14,0.144515542736204,0.0105447586539835,0.818386121741612,0.310325,0.16581,0.246637,0.14978
NOL11,0.160676891032713,0.0106271478403261,0.818386121741612,0.36451,0.203834,0.237668,0.167401
SOD2,0.165792693369253,0.010634501367553,0.818386121741612,0.407128,0.241336,0.269058,0.198238
CTTNBP2NL,0.0940859369050948,0.0106453460023914,0.818386121741612,0.145961,0.051875,0.116592,0.057269
TRIP12,0.224654082027172,0.010665210780811,0.818386121741612,0.913074,0.68842,0.578475,0.46696
CTSS,0.224800506382793,0.0107550511832567,0.818386121741612,0.853936,0.629135,0.542601,0.387665
ARHGEF12,0.131230352540155,0.01078456146292,0.818386121741612,0.260805,0.129575,0.201794,0.132159
NAPG,0.176741306736186,0.0108388158427892,0.818386121741612,0.504573,0.327832,0.38565,0.251101
PPP4C,0.227894983024563,0.010847306495216,0.818386121741612,0.849541,0.621646,0.479821,0.374449
ZNF234,0.0501797240770495,0.0108893908085359,0.818386121741612,0.0528,0.00262,0.049327,0.022026
SPNS1,0.145309149842909,0.0109355182465837,0.818386121741612,0.328461,0.183152,0.233184,0.14978
CDIPT,0.10628066164531,0.010961718780314,0.818386121741612,0.178943,0.072663,0.134529,0.070485
